Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Aditya Birla Sun Life Arbitrage Fund - Regular Plan,12683.86,0.15,7,0.25,7,0.75,5,1.39,9,1.82,12,3.89,9,5.74,7,5.77,8,7.8,6,6.78,10,5.62,11,5.21,10,5.48,9,5.86,9,6.34,5,-,-,-,-,6.28,-,4.1,9
Axis Arbitrage Fund - Regular Plan,4938.62,0.15,14,0.25,12,0.74,12,1.37,12,1.86,8,3.97,4,5.81,5,5.84,5,7.73,11,6.65,14,5.71,5,5.2,11,5.44,10,-,-,-,-,-,-,-,-,5.82,-,4.18,4
Bandhan Arbitrage Fund - Regular Plan,6202.72,0.16,5,0.26,2,0.75,4,1.41,5,1.87,3,3.87,10,5.73,10,5.77,9,7.74,10,6.82,7,5.62,10,5.08,14,5.41,11,5.81,10,6.33,7,6.42,4,-,-,6.54,-,4.1,10
DSP Arbitrage Fund - Regular Plan,5226.64,0.16,3,0.26,4,0.74,10,1.34,14,1.81,13,3.8,13,5.63,14,5.65,14,7.63,14,6.8,9,5.57,13,5.09,13,-,-,-,-,-,-,-,-,-,-,5.36,-,4.03,13
Edelweiss Arbitrage Fund - Regular Plan,11768.88,0.15,12,0.25,13,0.74,9,1.41,4,1.86,6,4.01,2,5.83,3,5.86,4,7.91,3,6.9,4,5.81,4,5.36,3,5.62,2,6.1,1,-,-,-,-,-,-,6.12,-,4.22,2
HDFC Arbitrage Fund - Wholesale Plan,12297.96,0.16,2,0.26,3,0.76,3,1.4,6,1.87,4,3.93,5,5.82,4,5.87,3,7.87,5,6.9,5,5.67,8,5.12,12,5.31,12,5.76,11,6.19,9,6.38,6,-,-,6.51,-,4.14,5
HSBC Arbitrage Fund - Regular Plan,2274.14,0.15,11,0.25,6,0.71,13,1.38,11,1.79,14,3.79,14,5.65,13,5.68,13,7.69,13,6.7,13,5.49,14,5.24,8,5.5,8,5.92,7,-,-,-,-,-,-,5.93,-,4.01,14
ICICI Prudential Equity Arbitrage Fund,20894.12,0.15,9,0.25,10,0.74,11,1.39,8,1.84,10,3.87,11,5.7,12,5.73,12,7.79,8,6.86,6,5.7,6,5.24,7,5.5,7,5.93,5,6.56,2,6.58,2,-,-,6.88,-,4.08,11
Invesco India Arbitrage Fund,16489.76,0.15,8,0.25,8,0.75,8,1.44,2,1.87,5,3.9,7,5.79,6,5.83,6,7.9,4,7.14,1,6.02,1,5.44,2,5.59,4,5.96,4,6.33,6,6.38,5,-,-,6.57,-,4.1,8
Kotak Equity Arbitrage Fund - Regular Plan,46307.74,0.18,1,0.26,1,0.78,1,1.46,1,1.95,1,4.11,1,6.02,1,6.06,1,8.15,1,7.12,2,5.98,3,5.45,1,5.71,1,6.08,2,6.59,1,6.69,1,-,-,6.91,-,4.32,1
Nippon India Arbitrage Fund,15157.75,0.15,6,0.26,5,0.71,14,1.36,13,1.85,9,3.89,8,5.73,9,5.76,10,7.76,9,6.75,12,5.66,9,5.23,9,5.59,3,6.02,3,6.54,3,-,-,-,-,6.87,-,4.1,7
SBI Arbitrage Opportunities Fund,31116.02,0.15,13,0.25,9,0.75,7,1.39,7,1.86,7,3.9,6,5.74,8,5.79,7,7.8,7,7.09,3,6.02,2,5.27,6,5.53,6,5.88,8,6.35,4,6.49,3,-,-,6.73,-,4.11,6
Tata Arbitrage Fund - Regular Plan,11828.86,0.16,4,0.24,14,0.75,6,1.38,10,1.82,11,3.86,12,5.71,11,5.75,11,7.72,12,6.77,11,5.58,12,5.34,4,-,-,-,-,-,-,-,-,-,-,5.48,-,4.07,12
UTI Arbitrage Fund - Regular Plan,5258.55,0.15,10,0.25,11,0.77,2,1.41,3,1.89,2,3.97,3,5.85,2,5.87,2,7.93,2,6.82,8,5.68,7,5.28,5,5.56,5,5.92,6,6.28,8,6.34,7,-,-,6.79,-,4.2,3
NIFTY 50 Arbitrage Total Return Index ,,0.02,,0.05,,0.67,,1.37,,1.82,,3.86,,5.82,,5.94,,8.27,,7.22,,5.94,,5.11,,5.18,,5.63,,6.12,,-,,-,,,,4.11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Allocator Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,8,,8,,7,,7,,4,,2,,12,,12
Peer Average,,1,,1.49,,3.14,,5.3,,6.66,,12.15,,20.84,,20.67,,25.26,,20.89,,14.33,,13.12,,10.91,,11.4,,12.08,,11.75,,13.48,,,,11.97,
Aditya Birla Sun Life Asset Allocator FoF - Regular Plan,210.21,1.39,2,2.06,2,3.53,5,6.7,3,8.86,3,15.57,2,26.28,3,26.21,3,33.53,2,23.59,3,15.04,5,16.55,2,12.87,2,13.24,2,13.88,2,9.45,4,-,-,10.77,-,15.62,2
Bandhan Asset Allocation Fund - Aggressive Plan - Regular Plan,17.92,1.31,4,2.4,1,5.06,1,6.94,1,8.25,4,13.9,5,24.14,5,24.1,5,27.61,5,22.61,5,14.17,7,13.26,4,10.59,5,10.63,5,11.32,5,-,-,-,-,10.73,-,13.63,5
Bandhan Asset Allocation Fund - Conservative Plan - Regular Plan,6.14,0.55,12,1,10,2,12,3.12,12,3.77,12,6.75,12,11.02,12,11.03,12,12.72,12,11.38,12,7.92,12,7.82,8,7.21,7,8.03,7,8.56,7,-,-,-,-,8.25,-,6.73,12
Bandhan Asset Allocation Fund - Moderate Plan - Regular Plan,18.44,1.01,6,1.77,4,3.89,2,5.37,6,6.36,6,10.76,7,18.22,7,18.22,7,20.59,9,17.38,9,11.33,10,10.77,6,9.12,6,9.52,6,10.07,6,-,-,-,-,9.73,-,10.59,7
Franklin India Dynamic Asset Allocation Fund of Funds,1294.88,0.68,10,1.45,7,2.22,11,4.54,8,5.68,8,10.07,8,17.28,10,17.38,9,26.64,6,21.63,7,16.62,3,13,5,11.27,4,10.97,4,11.46,4,10.84,3,14.1,1,14.17,-,9.87,9
Franklin India Multi Asset Solution Fund of Funds,53.6,0.78,9,1.17,8,2.93,7,3.99,10,4.89,10,10.07,9,17.52,9,16.98,11,20.21,10,14.86,11,11.85,9,7.92,7,6.96,8,-,-,-,-,-,-,-,-,6.65,-,9.57,11
HDFC Asset Allocator FoF - Regular Plan,3053.79,0.85,8,1.47,6,2.53,9,4.93,7,6.27,7,11.7,6,21.06,6,20.71,6,25.64,7,22.56,6,15.94,4,-,-,-,-,-,-,-,-,-,-,-,-,17.39,-,11.55,6
ICICI Prudential Asset Allocator (FOF) Fund #,21776.9,0.55,11,0.91,12,2.93,6,3.6,11,4.84,11,9.82,11,17.19,11,17.19,10,21.53,8,18.31,8,13.91,8,14.16,3,12.59,3,12.4,3,12.51,3,12.15,2,12.85,2,12.35,-,9.94,8
Kotak Multi Asset Allocator FoF -  Dynamic Regular Plan,1453.75,0.91,7,1,11,2.79,8,6.82,2,8.99,2,17.3,1,26.82,1,26.71,1,32.24,3,30.04,1,20.25,1,21.48,1,16.71,1,15.04,1,16.79,1,14.57,1,-,-,16.73,-,16.88,1
Motilal Oswal Asset Allocation Passive FoF - Aggressive - Regular Plan,65.57,1.33,3,1.69,5,3.68,4,6.57,5,7.42,5,14.41,4,26.04,4,25.48,4,28.07,4,23.27,4,14.6,6,-,-,-,-,-,-,-,-,-,-,-,-,15.47,-,13.96,4
Motilal Oswal Asset Allocation Passive FoF - Conservative - Regular Plan,41.39,1.06,5,1.09,9,2.33,10,4.37,9,5.27,9,10.01,10,17.94,8,17.62,8,19.66,11,16.7,10,10.85,11,-,-,-,-,-,-,-,-,-,-,-,-,11.44,-,9.8,10
Nippon India Asset Allocator FoF - Regular Plan,223.94,1.57,1,1.84,3,3.84,3,6.61,4,9.33,1,15.48,3,26.51,2,26.39,2,34.69,1,28.32,2,19.5,2,-,-,-,-,-,-,-,-,-,-,-,-,21.56,-,15.49,3
CRISIL Hybrid 50+50 Moderate Index ( 02-Jul-2024 ) ,,0.74,,0.96,,3.92,,4.72,,5.86,,10.56,,18.04,,18.04,,21.45,,18.55,,12.54,,13.46,,12.11,,11.81,,12.44,,11.39,,12.4,,,,10.41,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bal Bhavishya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,21,,21,,21,,21,,21,,21,,21,,21,,21,,19,,17,,17,,14,,13,,12,,11,,9,,21,,21
Peer Average,,1.6,,2.78,,6.13,,9.94,,12.11,,18.25,,30.08,,30.03,,36.89,,29.88,,17.51,,17.97,,15,,14.83,,16.39,,15.16,,17.32,,,,17.57,
Aditya Birla Sun Life Bal Bhavishya Yojna - Regular Plan,994.54,1.29,16,2.57,12,4.6,18,8.48,19,11.57,13,16.49,14,24.73,18,24.57,18,32.14,17,27,13,14.17,15,13.38,17,-,-,-,-,-,-,-,-,-,-,13.25,-,15.87,14
Aditya Birla Sun Life Flexi Cap Fund - Regular Plan,20473.4,1.17,18,2.42,17,5.86,10,9.18,14,11.24,15,17.6,12,29.72,11,29.29,12,36.58,10,29.57,9,16.85,10,18.04,9,14.28,9,14.78,7,17.79,3,15.26,6,18.9,4,21.91,-,17.11,12
Axis Flexi Cap Fund - Regular Plan,12011.72,1.47,13,2.08,20,5.62,12,9.88,11,12.69,7,20.73,6,31.6,8,31.8,7,34.16,12,26.18,16,14.46,14,16.33,15,-,-,-,-,-,-,-,-,-,-,15.23,-,19.37,6
Bandhan Flexi Cap Fund - Regular Plan,6979.84,1.7,8,3.03,7,5.27,14,8.63,16,11.74,11,18.95,8,29.65,12,29.83,11,37.08,9,29.2,11,17.91,7,16.55,11,12.65,14,13.34,12,16.08,8,16.59,3,-,-,17.35,-,17.41,11
Canara Robeco Flexi Cap Fund - Regular Plan,12447.99,1.78,7,2.55,13,5.6,13,10.51,9,11.19,16,18.39,10,30.49,10,30.45,10,33.6,13,27.89,12,16.95,9,18.68,7,16.47,4,14.38,9,15.74,9,15.41,5,18.08,5,18.22,-,17.59,10
DSP Flexi Cap Fund,10558.54,2.14,3,3.33,2,7.25,5,12.08,1,16.3,1,18.76,9,30.53,9,30.52,9,39.75,8,33.53,5,17.74,8,19.92,4,16.53,3,15.31,6,16.84,6,15.6,4,19.93,2,19.55,-,18.07,8
Franklin India Flexi Cap Fund,15468.09,1.4,14,3.08,6,4.57,19,9.25,13,11.55,14,19.62,7,34.09,5,34.28,4,45.45,3,34.88,4,23.02,2,21.7,1,16.63,2,16.43,2,17.85,2,16.63,2,19.25,3,18.52,-,19.13,7
HDFC Flexi Cap Fund,54692.16,0.92,20,2.49,16,5.04,17,10.19,10,12.26,10,21.25,4,36.94,3,36.48,3,44.59,4,37.71,1,26.95,1,20.94,2,17.92,1,15.52,4,17.63,4,16.77,1,20.15,1,19.28,-,21,3
HSBC Flexi Cap Fund,4435.44,2.27,2,3.3,3,6.97,7,11.79,3,14.41,3,25.19,2,39.41,2,38.83,2,48.83,2,36.88,3,22.21,3,19.46,5,15.17,7,14.46,8,16.11,7,15.2,7,17.96,6,17.34,-,24.95,2
ICICI Prudential Flexicap Fund,14913.29,1.07,19,2.05,21,6.36,9,9.61,12,10.7,17,21.03,5,34.38,4,34.08,5,40.28,6,32.06,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.68,-,20.13,5
Kotak Flexicap Fund - Regular Plan,48469.47,1.79,6,2.54,15,3.5,21,10.6,8,13.22,6,21.54,3,32.95,6,32.89,6,40.06,7,32.06,7,19.16,4,17.57,10,15.18,6,16.14,3,17.91,1,-,-,-,-,15.28,-,20.37,4
Mirae Asset Flexi Cap Fund - Regular Plan,1874.54,0.61,21,2.32,18,4.44,20,8.53,18,10.31,18,16.43,15,27.12,14,26.84,16,33.53,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.65,-,15.88,13
Motilal Oswal Flexi Cap Fund - Regular Plan,10034.65,1.63,11,2.67,11,8.55,3,11.96,2,13.74,5,28.09,1,43.74,1,44.53,1,56.52,1,37.28,2,18.89,5,15.92,16,12.96,13,16.57,1,-,-,-,-,-,-,18.45,-,28.09,1
Nippon India Flexi Cap Fund - Regular Plan,7052.43,1.38,15,2.54,14,5.81,11,10.85,6,14.55,2,17.89,11,31.78,7,31.76,8,43.11,5,31.82,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.74,-,17.73,9
PGIM India Flexi Cap Fund - Regular Plan,5875.23,1.91,5,2.97,8,7.14,6,8.62,17,9.65,20,14.89,18,24.28,19,24.28,19,25.77,20,24.01,18,13.61,16,20.24,3,15.56,5,-,-,-,-,-,-,-,-,14.23,-,13.83,19
SBI Flexicap Fund,20647.58,1.63,10,2.69,10,5.25,15,8.18,20,9.98,19,15.42,16,25.94,17,25.69,17,30.19,18,25.42,17,15.91,12,16.44,14,14.19,11,15.37,5,17.09,5,14.32,9,-,-,13.5,-,14.95,17
Sundaram Flexi Cap Fund - Regular Plan,2064.78,1.49,12,2.8,9,5.07,16,7.71,21,8.66,21,13.02,20,23.56,20,23,20,28.68,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.13,-,12.21,20
Tata Flexi Cap Fund - Regular Plan,2732.29,2.06,4,3.18,5,6.58,8,8.79,15,11.58,12,14.74,19,26.27,16,26.87,15,35.2,11,26.95,14,16.53,11,16.51,12,-,-,-,-,-,-,-,-,-,-,15.34,-,14.51,18
Tata Young Citizens Fund - Regular Plan,336.72,3.09,1,4.22,1,8.61,2,10.76,7,12.38,9,15.04,17,26.78,15,27.06,14,33.12,16,29.54,10,18.16,6,19.3,6,13.86,12,13.3,13,13.36,12,12.56,11,13.35,8,13.4,-,14.96,16
UTI Children's Equity Fund-Regular Plan,1010.49,1.21,17,2.27,19,7.33,4,11.4,5,14.15,4,16.65,13,28.14,13,28.13,13,33.54,14,26.32,15,15.67,13,18.12,8,14.2,10,13.69,10,14.92,11,13.23,10,11.27,9,11.03,-,15.62,15
UTI Flexi Cap Fund - Regular Plan,23972.31,1.67,9,3.18,4,9.27,1,11.65,4,12.44,8,11.63,21,19.52,21,19.44,21,22.45,21,19.5,19,9.49,17,16.49,13,14.38,8,13.46,11,15.38,10,15.17,8,16.98,7,12.86,-,10.22,21
BSE 200 Total Return Index,,1.86,,2.83,,4.29,,9.09,,10.45,,17.89,,32.13,,31.65,,36.74,,29.99,,19.64,,19.21,,16.61,,14.97,,16.32,,14.45,,16.81,,,,17.34,
NIFTY 500 Total Return Index,,1.86,,2.87,,4.98,,9.42,,11.31,,18.62,,33.35,,33.05,,39.63,,31.73,,20.4,,19.82,,16.61,,15.08,,16.45,,14.45,,16.98,,,,18.24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retirement Fund 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,8,,8,,8,,8,,8,,8,,8,,8,,8,,7,,7,,5,,3,,1,,1,,,,,,8,,8
Peer Average,,1.61,,2.68,,5.09,,9.89,,12.05,,19.47,,32.11,,32.02,,40.09,,31.14,,20.27,,18.42,,15.18,,15.18,,16.01,,,,,,,,18.92,
Aditya Birla Sun Life Retirement Fund - The 30s Plan - Regular Plan,374.66,1.11,8,2.21,6,3.75,7,9.2,6,12.05,4,17.13,8,26.89,8,26.8,8,33.15,8,26.11,6,14.07,6,13.45,5,-,-,-,-,-,-,-,-,-,-,12.7,-,16.43,8
Axis Retirement Savings Fund - Dynamic Plan - Regular Plan,346.79,1.4,6,2.34,5,5.38,5,8.73,7,9.81,8,19.75,3,31.1,3,31.19,3,34.19,6,24.13,7,12.97,7,-,-,-,-,-,-,-,-,-,-,-,-,14.92,-,19.29,3
HDFC Retirement Savings Fund Equity Plan - Regular Plan,5159.41,1.27,7,2,7,5.12,6,9.33,5,10.87,6,18.2,6,31.01,4,30.79,5,38.21,5,34.82,3,23.25,2,23.31,1,18.42,1,-,-,-,-,-,-,-,-,21.03,-,18.09,5
ICICI Prudential Retirement Fund - Pure Equity Plan,795.85,1.52,4,1.73,8,2.42,8,7.63,8,10.73,7,23.67,1,43.87,1,43.39,1,55.81,1,37.49,1,30.72,1,22.95,2,-,-,-,-,-,-,-,-,-,-,22.82,-,23.72,1
Nippon India Retirement Fund - Wealth Creation Scheme,3102.31,2.03,3,3.82,1,6.18,2,11.08,3,13.38,2,21.47,2,34.62,2,34.59,2,45.61,2,35.4,2,21.95,3,15.82,4,12.99,3,-,-,-,-,-,-,-,-,11.88,-,20.74,2
SBI Retirement Benefit Fund - Aggressive Plan - Regular Plan,2413.54,1.4,5,2.68,4,5.8,3,12.44,1,13.32,3,18.14,7,27.86,7,27.6,7,33.41,7,30.09,4,21.77,4,-,-,-,-,-,-,-,-,-,-,-,-,23.67,-,16.8,7
Tata Retirement Savings Fund - Progressive Plan - Regular Plan,1866.16,2.12,1,2.83,3,6.37,1,11.27,2,14.31,1,18.82,4,30.99,5,31.12,4,40.26,3,29.94,5,17.13,5,16.57,3,14.12,2,15.18,1,16.01,1,-,-,-,-,15.8,-,18.03,6
Union Retirement Fund - Regular Plan,126.74,2.07,2,3.8,2,5.66,4,9.44,4,11.92,5,18.6,5,30.55,6,30.66,6,40.11,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.97,-,18.24,4
BSE 200 Total Return Index,,1.86,,2.83,,4.29,,9.09,,10.45,,17.89,,32.13,,31.65,,36.74,,29.99,,19.64,,19.21,,16.61,,14.97,,16.32,,14.45,,16.81,,,,17.34,
NIFTY 500 Total Return Index,,1.86,,2.87,,4.98,,9.42,,11.31,,18.62,,33.35,,33.05,,39.63,,31.73,,20.4,,19.82,,16.61,,15.08,,16.45,,14.45,,16.98,,,,18.24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retirement Fund 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,4,,2,,1,,1,,,,,,6,,6
Peer Average,,1.28,,2.05,,4.28,,8.6,,10.26,,16.52,,26.77,,26.67,,33,,25.93,,16.1,,15.56,,13.6,,14.57,,15.66,,,,,,,,15.97,
Aditya Birla Sun Life Retirement Fund - The 40s Plan - Regular Plan,107.66,0.89,5,1.84,4,3.17,5,7.39,5,9.25,4,13.14,6,20.82,6,20.76,6,26.9,6,21.49,6,11.8,5,11.78,4,-,-,-,-,-,-,-,-,-,-,11.2,-,12.46,6
Axis Retirement Savings Fund - Aggressive Plan - Regular Plan,844.96,1.6,2,2.42,2,4.78,3,8.03,4,9.03,5,18.49,2,28.81,2,28.9,2,32.27,3,23.65,5,11.26,6,-,-,-,-,-,-,-,-,-,-,-,-,13.47,-,17.78,2
HDFC Retirement Savings Fund - Hybrid Equity Plan - Regular Plan,1414.34,0.88,6,1.45,6,3.98,4,7.35,6,8.47,6,13.58,5,22.84,5,22.72,5,27.82,5,25.68,4,16.59,3,16.86,2,14.35,1,-,-,-,-,-,-,-,-,17.06,-,13.42,5
ICICI Prudential Retirement Fund - Hybrid Aggressive Plan,476.86,1.2,4,1.83,5,2.98,6,8.06,3,10.99,3,22.09,1,38.57,1,38.18,1,48.55,1,32.91,1,22.27,1,18.24,1,-,-,-,-,-,-,-,-,-,-,18.27,-,22.15,1
SBI Retirement Benefit Fund - Aggressive Hybrid Plan - Regular Plan,1392.05,1.25,3,2.28,3,5.11,2,10.77,1,11.54,2,15.75,4,23.8,4,23.62,4,28.89,4,25.76,3,19.01,2,-,-,-,-,-,-,-,-,-,-,-,-,20.52,-,14.68,4
Tata Retirement Savings Fund - Moderate Plan - Regular Plan,1991.29,1.84,1,2.48,1,5.65,1,10,2,12.31,1,16.1,3,25.77,3,25.88,3,33.54,2,26.08,2,15.66,4,15.38,3,12.85,2,14.57,1,15.66,1,-,-,-,-,15.48,-,15.33,3
CRISIL Hybrid 35+65 Aggressive Index ( 02-Jul-2024 ) ,,0.94,,1.16,,4.88,,5.58,,7.01,,12.36,,21.74,,21.74,,25.84,,21.81,,14.59,,15.26,,13.57,,12.81,,13.67,,12.41,,13.83,,,,12.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,8,,8,,8,,8,,8,,8,,8,,8,,8,,5,,2,,1,,1,,,,,,,,,,8,,8
Peer Average,,1.49,,2.65,,5.11,,9.97,,12.33,,21.85,,35.46,,35.38,,43.19,,36.58,,25.97,,21.09,,15.55,,,,,,,,,,,,21.33,
Aditya Birla Sun Life Business Cycle Fund - Regular Plan,1701.46,1.44,5,3.42,1,6.78,1,11.03,3,11.7,4,18.88,7,29.37,7,29.26,7,33.94,7,27.47,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.39,-,17.93,7
Axis Business Cycles Fund - Regular Plan,2699.44,2.21,2,3.06,2,4.6,6,9.86,4,11.99,3,21.14,5,33.89,5,33.89,5,42,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.26,-,19.7,6
Baroda BNP Paribas Business Cycle Fund - Regular Plan,527.46,2.27,1,2.7,4,5.97,3,9.27,5,11.59,5,20.68,6,39.59,3,39.57,2,47.45,4,35.1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.37,-,21.07,5
HDFC Business Cycle Fund - Regular Plan,2906.75,0.83,7,2.39,6,5.18,5,9.23,6,9.89,7,14.02,8,26.49,8,26.78,8,31.64,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.57,-,13.42,8
HSBC Business Cycles Fund - Regular Plan,856.13,1.77,3,3.04,3,5.42,4,12.34,2,18.66,1,32.94,1,46.4,1,46.42,1,53.93,1,42.65,1,26.58,1,21.09,1,15.55,1,-,-,-,-,-,-,-,-,15.62,-,32.45,1
ICICI Prudential Business Cycle Fund,9663.24,1.3,6,2.53,5,2.81,8,6.48,8,8.21,8,22.89,2,39.62,2,38.76,3,47.91,3,36.39,3,25.35,2,-,-,-,-,-,-,-,-,-,-,-,-,26.69,-,22.35,2
Kotak Business Cycle Fund - Regular Plan,2470.51,0.54,8,1.7,8,6.45,2,12.48,1,15.37,2,22.38,3,31.14,6,31.11,6,36.61,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.04,-,21.85,4
Tata Business Cycle Fund - Regular Plan,2311.19,1.56,4,2.35,7,3.64,7,9.09,7,11.26,6,21.92,4,37.15,4,37.28,4,52.03,2,41.3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.46,-,21.86,3
BSE 500 Total Return Index,,1.87,,2.88,,4.96,,9.56,,11.28,,18.57,,33.11,,32.79,,39.26,,31.58,,20.36,,20.01,,16.76,,15.21,,16.55,,14.69,,17.04,,,,18.19,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver FoF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,7,,7,,7,,7,,7,,7,,7,,7,,7,,3,,,,,,,,,,,,,,,,7,,7
Peer Average,,2.32,,0.59,,-0.86,,11.18,,14.8,,21.91,,28.61,,23.88,,27.05,,21.93,,,,,,,,,,,,,,,,,,20.92,
Aditya Birla Sun Life Silver ETF FoF - Regular Plan,140.04,2.17,6,0.61,3,-0.72,2,10.63,7,14.51,5,21.32,6,27.5,7,23.03,6,26.43,6,21.89,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.52,-,20.32,6
Axis Silver FoF - Regular Plan,41.85,2.16,7,0.53,7,-1.01,5,10.93,5,15.02,3,21.61,5,28.57,4,24.16,2,26.73,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.58,-,20.73,5
HDFC Silver ETF FoF - Regular Plan,89.47,2.45,2,0.56,6,-0.56,1,11.39,2,15.5,1,22.22,2,29.45,1,24.13,3,27.49,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.61,-,21.19,2
ICICI Prudential Silver ETF FoF,655.17,2.31,4,0.62,2,-1.1,7,11.02,4,14.2,7,21.81,3,29.4,2,23.54,4,27.06,3,21.94,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.81,-,20.74,4
Kotak Silver ETF FoF - Regular Plan,23.31,2.33,3,0.57,4,-0.82,3,10.83,6,14.34,6,20.94,7,28.01,6,22.77,7,25.97,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.14,-,20.13,7
Nippon India Silver ETF FoF - Regular Plan,335.8,2.53,1,0.57,5,-0.82,4,11.03,3,14.6,4,21.75,4,28.48,5,23.35,5,26.9,4,21.95,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.91,-,20.75,3
